,client_id,visit_id,visitor_id,treatment_group,total_steps,backward_steps,error_rate
98,17036,5412690_51912871017_388447,570333483_58821278508,Control,5,0,0.0
99,17160,288601631_61200777965_80603,666738639_90225008330,Control,2,0,0.0
100,17160,538060873_21894661498_98676,666738639_90225008330,Control,2,0,0.0
101,17160,721325432_59287115696_45567,140068625_65716672913,Control,5,0,0.0
102,17170,112195503_4147328637_416285,259783204_3998121043,Test,5,0,0.0
103,17318,701926986_42855851684_197456,276401056_40671227044,Test,5,1,20.0
104,17404,595964339_68086747757_836162,61137849_67876286105,Test,5,0,0.0
105,18549,215323502_66412461127_843587,61226135_86116360124,Test,5,0,0.0
106,18549,903270355_9893847581_266828,61226135_86116360124,Test,2,0,0.0
107,18660,599771749_31789266570_129560,752495227_56656898955,Control,4,1,25.0
108,18973,877001573_38639169699_94006,934481653_7373414750,Control,6,0,0.0
109,19060,31314165_21341421790_830646,943295188_60353572812,Test,5,1,20.0
110,19782,595959804_30727742247_747416,622496272_80605608962,Control,5,0,0.0
111,19813,143231681_56019816087_517213,670697421_80054613810,Control,6,0,0.0
112,19832,328338410_97956782579_812900,129098786_3400630737,Control,5,0,0.0
113,20091,521894990_91669109448_321090,837374771_48545978049,Control,8,1,12.5
114,20185,10208508_48498393982_276767,605452303_14846862358,Test,19,4,21.052631578947366
115,20185,291029569_37125028338_581986,605452303_14846862358,Test,11,3,27.27272727272727
116,20537,361956812_35822130107_210159,200556165_70944647198,Control,5,0,0.0
117,20564,256412057_32253956683_488364,590842135_88427743978,Test,10,2,20.0
118,20643,976784655_22762149240_583677,518790073_88128996012,Test,5,0,0.0
119,20668,54705633_98224234364_918665,381789213_30254245920,Test,3,0,0.0
120,21200,356239026_86518334852_703966,974431048_88054561536,Test,5,1,20.0
121,21242,49249722_23282484399_943418,28758684_34903550390,Control,5,0,0.0
122,21281,410493783_88709157426_637149,799353992_34176399455,Test,7,1,14.285714285714285
123,21281,457143956_15488057485_187815,789016794_78682115112,Test,2,0,0.0
124,21353,530967959_67713638520_172683,600870620_47652177803,Control,9,2,22.22222222222222
125,21403,645109899_64331258526_242093,173393007_41593104172,Test,3,0,0.0
126,21498,328839464_75225165174_487994,112796748_95489419773,Control,4,0,0.0
127,21498,514004431_53392778526_830876,112796748_95489419773,Control,8,0,0.0
128,21522,527187988_84910530519_405513,956380374_35738784925,Test,13,4,30.76923076923077
129,21522,671119707_17530009618_73156,956380374_35738784925,Test,3,1,33.33333333333333
130,21596,827079958_39299586194_303382,546824865_38801132695,Test,7,1,14.285714285714285
131,21719,790931569_86751430606_232479,196314004_84192683360,Control,4,0,0.0
132,21940,187237415_73313185916_621734,805212536_88115807517,Control,2,0,0.0
133,21940,264497886_42393255597_533913,805212536_88115807517,Control,3,0,0.0
134,21940,794772723_91591789623_49001,290323712_179611209,Control,6,0,0.0
135,21970,579369959_76319820707_173529,884689567_69949404962,Control,6,2,33.33333333333333
136,21970,678408663_57335007509_764949,884689567_69949404962,Control,3,0,0.0
137,22007,73968490_90355608829_797345,166151908_48799916688,Test,6,0,0.0
138,22793,656446242_8633410670_446167,125925278_70616268247,Test,3,0,0.0
139,22885,202128370_21791343218_270234,7801409_9805440892,Control,8,2,25.0
140,22885,342423216_9055674217_132036,7801409_9805440892,Control,9,2,22.22222222222222
141,22885,525552968_26367466820_858249,7801409_9805440892,Control,6,0,0.0
142,23276,270328799_4570983539_741814,45006070_62818213457,Control,7,1,14.285714285714285
143,23864,862778992_82264184824_133012,138132593_28891880113,Control,5,0,0.0
144,23914,597582580_91727141508_343145,601147774_68904952704,Test,5,0,0.0
145,24079,854706953_84522230585_304453,934903928_93987640180,Control,3,0,0.0
146,24443,333132662_67000308675_723690,506118219_28700413405,Test,8,2,25.0
147,24443,937835222_16528776411_284171,239924652_19132521727,Test,13,3,23.076923076923077
148,24572,101834489_14041973684_933577,630052492_58601863492,Test,7,1,14.285714285714285
149,24703,568253230_7701684906_552884,499239169_38709744896,Test,2,0,0.0
150,24703,902557888_9001202517_558559,499239169_38709744896,Test,3,0,0.0
151,24710,372848838_26065165663_415154,857551556_48358885617,Control,5,0,0.0
152,24841,245732484_47963379836_530106,376538741_96757012661,Test,2,0,0.0
153,24841,459771761_81535230322_768844,376538741_96757012661,Test,5,0,0.0
154,24841,852165935_716760075_895940,376538741_96757012661,Test,2,0,0.0
155,25022,660566305_80422203970_930581,127090872_40235777536,Test,5,0,0.0
156,25026,42978712_24743460119_351481,325385302_31538608621,Test,6,0,0.0
157,25043,577479025_23003224575_613058,126533598_19634703847,Control,5,0,0.0
158,25766,928597717_39366987912_328775,166531704_28515622010,Control,7,1,14.285714285714285
159,26036,414204466_74775563841_963704,971216415_4996757414,Test,5,0,0.0
160,26070,158839867_85629749975_142552,506667135_49407923633,Test,5,0,0.0
161,26105,340616021_70560151001_375599,550883110_33220778838,Test,6,0,0.0
162,26211,759018254_96720413650_129156,182472276_98193362635,Control,5,0,0.0
163,26286,646886381_6575690337_472133,108334206_5186343436,Control,2,0,0.0
164,26696,67258240_78649320652_486172,120183556_11702430839,Test,3,0,0.0
165,27021,525905933_92057215335_225403,533602374_23301907469,Control,9,1,11.11111111111111
166,27075,847339667_23878418814_725972,76376417_52321967936,Test,5,0,0.0
167,27241,122379901_73882407138_824316,111165291_70855004699,Control,9,2,22.22222222222222
168,27554,139832184_11300974912_420847,173459122_5671827927,Control,5,0,0.0
169,27764,848141405_8390359311_560262,353088136_59936336814,Test,2,0,0.0
170,27764,909501959_18598284968_649950,769510355_13412064058,Test,7,1,14.285714285714285
171,27907,245669313_55845221009_577387,467995192_57940147954,Test,5,0,0.0
172,27988,259712880_91619398898_922199,614125491_26789370797,Control,3,0,0.0
173,27988,268663775_37083342041_663439,614125491_26789370797,Control,3,0,0.0
174,27988,579350741_19153261849_192325,614125491_26789370797,Control,3,0,0.0
175,27988,886083511_19782087550_389870,614125491_26789370797,Control,5,0,0.0
176,28241,150714187_97321013540_644069,106452709_58105598882,Test,6,0,0.0
177,28371,669787535_2001405604_766210,866346652_30817910419,Test,5,0,0.0
178,28371,674785705_42278836210_89908,866346652_30817910419,Test,3,0,0.0
179,28542,171809703_96593828686_303644,114973176_59081782015,Control,5,0,0.0
180,28705,253690336_77914363104_423070,671211728_52294615240,Control,5,1,20.0
181,28705,985523128_60878108519_475101,671211728_52294615240,Control,5,0,0.0
182,28845,580952843_92010541238_958716,274228726_97307081181,Control,5,0,0.0
183,28857,20611935_38968216552_8195,92635092_88286701142,Control,12,3,25.0
184,28857,799390760_4399594763_998748,92635092_88286701142,Control,5,0,0.0
185,29227,32232938_22171776931_394594,813020763_73183145801,Test,8,0,0.0
186,29527,902421369_25974475779_625607,577768523_87970524017,Test,6,0,0.0
187,29595,196664926_37959631601_567951,343737541_19063774853,Control,2,0,0.0
188,29595,253828702_4091182456_53800,343737541_19063774853,Control,5,0,0.0
189,30318,414032252_13141996608_789736,48627717_99303689454,Test,4,0,0.0
190,30318,451860645_51986976003_671260,48627717_99303689454,Test,4,1,25.0
191,30318,94242687_26011774090_831254,48627717_99303689454,Test,5,0,0.0
192,30493,10881982_2291331778_727577,493753122_31736508429,Test,8,1,12.5
193,31191,148306535_2150583524_452562,435999517_58802561762,Control,2,0,0.0
194,31264,249149549_93063430359_775160,91691909_20643284493,Control,2,0,0.0
195,31264,716532487_25741243212_493535,91691909_20643284493,Control,7,1,14.285714285714285
196,31336,296922855_83636314863_719152,536148944_46312713697,Test,5,0,0.0
197,31336,343288418_2704283301_738722,536148944_46312713697,Test,10,3,30.0
198,31404,978124541_68436648954_178305,403656745_34487644595,Test,5,0,0.0
199,31499,898505863_76929932924_170177,927201320_93386695394,Test,9,1,11.11111111111111
200,31502,707649935_38522318149_168113,997960069_79388660924,Control,9,1,11.11111111111111
201,31597,184586102_78834247258_726297,810809574_85595370255,Test,2,0,0.0
202,31597,573653666_38574505841_953176,810809574_85595370255,Test,5,1,20.0
203,31597,600166727_58963640265_39538,810809574_85595370255,Test,5,0,0.0
204,31597,842320361_24930563126_410607,810809574_85595370255,Test,5,1,20.0
205,31715,270150115_26404318524_194346,272010997_86325403627,Control,5,0,0.0
206,31766,319608733_8866345603_6221,513713631_3740744725,Test,5,1,20.0
207,31766,575636726_94200475329_418708,513713631_3740744725,Test,2,0,0.0
208,32197,993583906_25807203277_860781,212910548_17742344909,Control,5,0,0.0
209,32305,572773022_49421929655_89428,192627031_48107277379,Control,2,0,0.0
210,32471,610412201_70455647539_927120,192139291_60531026352,Test,9,4,44.44444444444444
211,32521,217910228_66334118816_860018,873009817_62812737917,Test,5,0,0.0
212,32746,228284822_40598171939_119839,65336966_69053834536,Test,10,2,20.0
213,32859,710388620_31710037671_314891,658762479_98727780351,Control,4,0,0.0
214,33190,147670519_51086053990_177899,18953743_34226483016,Control,5,0,0.0
215,33265,559935292_41447444936_619191,257224930_63064202291,Test,5,0,0.0
216,33463,753474534_6597398149_171746,952539351_71791673316,Control,12,3,25.0
217,33472,494412699_38179227214_29457,737469005_1162315110,Test,4,0,0.0
218,33472,924888231_78226178740_225058,737469005_1162315110,Test,5,0,0.0
219,33752,134643104_24360993137_860696,395569730_42549547084,Test,5,0,0.0
220,34067,105458872_73633905256_530797,903578810_54395828122,Control,7,1,14.285714285714285
221,34101,4563284_31325166979_591188,878949952_71409503015,Test,4,0,0.0
222,34267,675050464_40640179349_303380,65518856_8852359224,Control,5,0,0.0
223,34501,884415760_74544386850_520553,123079717_22151462290,Control,7,3,42.857142857142854
224,34603,264983456_55288849407_826462,924117810_5992136652,Control,5,0,0.0
225,34608,686212308_51441310099_794966,834546916_29411132091,Test,2,0,0.0
226,34631,933322030_83639599371_585586,292322273_82708113449,Control,7,2,28.57142857142857
227,35010,669805534_99814880620_105332,320568594_22318736857,Test,5,2,40.0
228,35087,656173332_25606320551_748921,847859473_16432287154,Control,5,1,20.0
229,35091,513775028_54612217783_884073,442413682_90979726878,Test,3,1,33.33333333333333
230,35138,750801449_41595515776_366601,454966636_52195672997,Test,5,0,0.0
231,35138,844769084_79339910472_207038,454966636_52195672997,Test,2,0,0.0
232,35181,730226341_26673717721_405202,127824352_19955282945,Test,3,0,0.0
233,35181,95312600_32167455223_879994,127824352_19955282945,Test,5,0,0.0
234,35257,792270484_79667424754_883949,372133373_9777574891,Control,5,0,0.0
235,35346,16596855_24949200167_810598,468995570_54676761370,Control,5,0,0.0
236,35417,605900266_15899735773_48030,384044523_23302560294,Control,5,0,0.0
237,35476,379785835_9853345500_781684,949184072_89302440478,Test,7,0,0.0
238,35476,661495731_52514710825_523851,161009914_19633878974,Test,4,1,25.0
239,35922,454873758_44961103960_436775,492308256_27801351851,Test,6,0,0.0
240,36109,323091457_98221684598_337461,306603996_85757417975,Control,5,0,0.0
241,36109,711681739_50728669212_888267,850187911_34132878274,Control,2,0,0.0
242,36342,645047305_23085918590_582192,278214760_37559572127,Test,5,0,0.0
243,36363,230190780_40265705787_803867,33878264_91433644153,Test,5,0,0.0
244,36430,835816396_30039866330_92205,482682471_38429318504,Test,10,1,10.0
245,36432,638692692_54943890081_510434,17482617_23174269260,Test,5,2,40.0
246,36555,276008776_6187559850_732189,969188417_56121692878,Test,10,1,10.0
247,36986,263415366_88368405236_44885,537370319_38865702610,Test,2,0,0.0
248,36986,514008566_54144851038_736529,856085193_40886570650,Test,2,0,0.0
249,36986,610763272_78958974287_186487,128462938_15148991657,Test,12,3,25.0
250,37064,108160928_74041165668_179601,488045465_27851224051,Control,9,2,22.22222222222222
251,37295,860974573_56720549903_835373,19086232_16918855588,Control,7,1,14.285714285714285
252,37408,87485400_37788346680_39057,824556260_32757551015,Control,5,0,0.0
253,37423,311519110_62877397316_636773,368531344_83355278898,Test,7,1,14.285714285714285
254,37423,399365683_87345712137_804047,175244635_80328083667,Test,4,1,25.0
255,37423,567820574_93405602099_3010,194279758_42194465691,Test,3,1,33.33333333333333
256,37667,748657992_72419971402_965674,946175297_48250572065,Test,5,0,0.0
257,37691,414999562_21385457178_150226,573687012_67902583930,Test,4,1,25.0
258,37705,692166582_67287072384_747957,265843170_4844183434,Test,5,0,0.0
259,37897,230546925_53432959569_216507,977020002_95860536119,Test,5,0,0.0
260,38275,359331941_76511062609_68875,472330432_75451065699,Test,2,0,0.0
261,38283,391359310_52526237406_333998,903019674_51748678867,Test,8,1,12.5
262,38340,110812049_21946570521_410833,489713062_7383835696,Test,5,0,0.0
263,38551,638544702_77373552014_572090,171133364_38937720793,Test,5,0,0.0
264,38685,180927713_23014874476_363056,950230521_52095100215,Control,5,0,0.0
265,38714,800069931_72563880914_503531,423936024_77675215295,Control,5,0,0.0
266,38775,146591696_83294151472_798400,243548377_24145371065,Test,2,0,0.0
267,38930,169926159_54845613863_474836,661627740_45494224423,Control,8,1,12.5
268,38963,967863339_1007074920_176089,652870083_67204095936,Control,5,0,0.0
269,39075,898885344_90280540339_455548,94354315_5268740954,Control,5,0,0.0
270,39566,967352007_45790274730_611537,596574190_95725555885,Test,5,0,0.0
271,39968,738589305_5507250289_173388,116572260_42036780154,Control,2,0,0.0
272,40283,128694242_11244260661_172682,622421878_74588817646,Test,9,0,0.0
273,40439,955891944_45130120848_88900,282321216_77231559455,Test,5,0,0.0
274,40969,548632293_64898384632_265387,479944611_77206434069,Test,5,1,20.0
275,41122,290225500_25540519434_519044,969832983_23299275349,Test,5,0,0.0
276,41142,659587073_1955804683_396312,987601219_6152478231,Test,7,0,0.0
277,41142,732612044_44904867332_599760,991486731_20292544863,Test,6,0,0.0
278,41199,647552139_48569565117_350431,913261768_75467961223,Test,5,0,0.0
279,41237,179137022_3817559380_130125,772598303_16854215063,Test,6,0,0.0
280,41516,535379787_70953770369_239486,749562539_73692211778,Control,5,0,0.0
281,41652,787088364_42565048089_987148,884920411_47514559670,Control,2,0,0.0
282,41924,482091972_67802627615_409448,102188708_12696450155,Test,2,0,0.0
283,41924,803985727_12962083352_519761,102188708_12696450155,Test,4,1,25.0
284,42082,829148934_9921404344_147548,159834504_86783116612,Control,6,0,0.0
285,42296,706376913_10734857558_811890,658245487_7919822171,Control,2,0,0.0
286,42296,93586204_43300463810_177312,223606082_33779902682,Control,2,0,0.0
287,42349,502267956_71258094326_668821,61003530_8031624406,Test,5,0,0.0
288,42725,24762310_39470410918_872096,443964560_51588345369,Test,5,0,0.0
289,43494,192916350_1881896096_594863,474019471_20027768515,Control,2,0,0.0
290,43494,386967404_43060062970_361355,672176156_90772122603,Control,4,0,0.0
291,43645,548195952_11340691543_784671,237530550_2261243800,Test,2,0,0.0
292,43645,982763498_76642298127_213038,237530550_2261243800,Test,4,0,0.0
293,43766,810511056_19414519852_118431,937035979_75342230206,Control,2,0,0.0
294,44060,897062429_65421712627_71592,368099332_80252248439,Control,9,2,22.22222222222222
295,44216,687063223_33984232717_758527,106495154_2979425095,Control,7,0,0.0
296,44705,747248516_24137338282_592447,87884205_27957779570,Test,8,1,12.5
297,44860,794965500_18939486436_512171,104894175_78493940083,Control,5,0,0.0
298,44932,550867472_4726630807_982457,56081593_66505656566,Test,5,0,0.0
299,44995,147069409_81809485977_603374,21452428_80820082058,Test,2,0,0.0
300,45131,244261915_94378818692_365347,683920784_15571221773,Test,8,0,0.0
301,45131,906151155_12846273306_149819,81248672_45515656126,Test,4,0,0.0
302,45232,531578168_22995189593_320487,547892773_78700320182,Test,3,0,0.0
303,45232,611673583_2113032196_733397,972440526_74733680394,Test,2,0,0.0
304,45232,6435534_46302282847_973279,396311649_48826079484,Test,6,0,0.0
305,45485,10463399_86967089664_748023,893113311_14266477315,Test,8,1,12.5
306,45510,220912169_22832501286_557341,123617415_92937601190,Test,5,1,20.0
307,45510,908754911_34738618738_563447,125394029_76999674091,Test,5,0,0.0
308,46223,243278367_2017139765_629811,773835808_97141187992,Control,4,0,0.0
309,46790,490181959_71427900058_572913,997907788_66843892750,Test,4,1,25.0
310,46934,32258740_94009947344_268166,352168170_9927740980,Test,2,0,0.0
311,47402,162840737_3922274774_13497,854385699_7834303210,Control,4,1,25.0
312,47571,113831903_66637399804_682438,631301170_99038286201,Control,5,0,0.0
313,47860,792299634_97903168874_502496,595465238_38577196581,Test,6,1,16.666666666666664
314,47933,307556867_98165379376_291369,843424419_56211326357,Control,5,0,0.0
315,47933,622040287_50892902330_716699,843424419_56211326357,Control,3,0,0.0
316,48241,360066251_63949380782_132532,436371609_24933651614,Control,2,0,0.0
317,48241,692569251_47697604544_443937,436371609_24933651614,Control,16,6,37.5
318,48424,483881400_11083850789_312292,479636985_28592326092,Control,3,0,0.0
319,48424,833433809_67706629823_501221,997253304_77262644215,Control,4,1,25.0
320,48424,915471456_87408299844_797558,780042332_72229467787,Control,6,0,0.0
321,48431,684543557_74744216626_700180,76293008_70564161300,Control,5,0,0.0
322,48448,331615026_46718458763_258848,720593921_49875119289,Test,6,0,0.0
323,48724,450223076_1270239040_103471,316724696_76229373240,Test,7,0,0.0
324,48724,87484851_35057772341_623035,356511134_9751666580,Test,5,1,20.0
325,49412,838425641_58860619588_407038,260263920_63201765506,Control,9,2,22.22222222222222
326,49450,947417142_54079482666_997512,519931502_26167985789,Control,9,1,11.11111111111111
327,49709,3731154_65856220759_887634,753039508_18507230174,Test,11,3,27.27272727272727
328,49998,908509953_84832260910_132526,850954995_67036552372,Test,2,0,0.0
329,50053,117148374_23007934750_723969,97585989_82048991587,Test,5,0,0.0
330,50090,438030125_81387028198_5339,580109212_23395623420,Test,5,0,0.0
331,50185,183896514_46132778513_999591,409270338_40062267717,Control,5,0,0.0
332,50271,475201178_31383506300_405176,904917113_89331760787,Control,5,0,0.0
333,50325,551185193_55842044169_970707,809657100_79820630138,Test,5,0,0.0
334,50599,775384779_58451056523_496325,502435643_66650990723,Test,2,0,0.0
335,50643,5765693_25724371872_368208,979100069_88424590012,Control,7,0,0.0
336,51493,589158940_48051862097_51642,747809304_71422812734,Test,5,0,0.0
337,51526,134346196_17609374757_449565,935555432_19618565909,Test,9,1,11.11111111111111
338,51706,82826369_17146795583_628815,219054602_94644032994,Control,5,0,0.0
339,51814,412387210_89436250619_308924,306370586_34886046101,Control,5,0,0.0
340,51902,335453040_3847193462_575230,407933819_5423056426,Control,5,0,0.0
341,52111,299084436_75098989899_564804,814386630_70110636250,Control,3,0,0.0
342,52111,54519276_56322694663_103480,814386630_70110636250,Control,2,0,0.0
343,52111,66743123_1421602638_316706,5791144_57988866197,Control,5,0,0.0
344,52111,82584123_82200827124_627189,144047185_28153710165,Control,5,0,0.0
345,52309,860586497_47595065068_261479,38221831_54558861493,Test,7,3,42.857142857142854
346,52456,524589192_33382214926_416168,925912936_1656564070,Control,2,0,0.0
347,52456,974429697_39365734813_289320,925912936_1656564070,Control,7,1,14.285714285714285
348,52461,510072961_45375022441_651014,896021644_63808047375,Control,5,0,0.0
349,52743,406073591_12813388657_556131,260503955_41917390553,Test,12,3,25.0
350,52765,473611699_88698300702_676504,500852995_95885249959,Control,5,0,0.0
351,53094,209692687_657787229_421530,337837453_65073922194,Control,5,0,0.0
352,53123,614415920_92013808329_545388,956216741_94419537864,Control,5,0,0.0
353,53126,292502369_4064709550_81898,930034355_30062243156,Control,5,0,0.0
354,53396,777642463_32133154379_262810,300333864_80738517996,Test,6,0,0.0
355,53990,116247956_70538225553_674097,796998471_72265240057,Control,4,0,0.0
356,54231,382469695_94657812814_22266,381229517_77949606742,Test,5,0,0.0
357,54291,266600258_97583660405_671014,979954555_97229287903,Control,5,0,0.0
358,54363,674254978_92905721633_451960,832170045_56408583475,Control,5,0,0.0
359,54893,850012832_27444155456_83608,185112383_13628505222,Test,5,0,0.0
360,55059,865259378_53104489234_966291,443499056_56647518492,Test,5,0,0.0
361,55265,820893417_48900423332_323812,912666277_70321299290,Test,8,1,12.5
362,55333,139597531_51035559432_717006,624816274_58113327513,Test,6,0,0.0
363,55448,882125875_3305639408_136269,840115343_7199681764,Control,5,0,0.0
364,55448,925381309_51194515110_418854,840115343_7199681764,Control,2,0,0.0
365,55951,179222720_61693208013_45132,902445890_26856025092,Test,3,0,0.0
366,56294,541315509_60344165848_536193,281591841_49370524630,Test,7,1,14.285714285714285
367,56529,526951008_47314864700_913042,223252475_23090603948,Control,8,0,0.0
368,56570,616719426_37256103158_532036,490616591_14848505640,Test,7,2,28.57142857142857
369,56782,269787940_29160450218_924856,840477802_83297517816,Control,5,1,20.0
